,Zip.Code,RUCC_2023
3084,53713,2.0
3085,53713,2.0
3086,53562,2.0
3087,53562,2.0
3088,53558,2.0
3089,53558,2.0
3090,53718,2.0
3091,53590,2.0
3092,53590,2.0
3093,53528,2.0
3094,53528,2.0
3095,53532,2.0
3096,53532,2.0
3097,53711,2.0
3098,53711,2.0
3099,53941,4.0
3100,53941,4.0
3101,53590,2.0
3102,53590,2.0
3103,53704,2.0
3104,53704,2.0
3105,53593,2.0
3106,53593,2.0
3107,53711,2.0
3108,53711,2.0
3111,53562,2.0
3112,53562,2.0
3113,53572,2.0
3114,53572,2.0
3115,53593,2.0
3116,53593,2.0
3117,53711,2.0
3118,53711,2.0
3119,53719,2.0
3120,53719,2.0
3121,53575,2.0
3122,53575,2.0
3123,53532,2.0
3124,53532,2.0
3127,53527,2.0
3128,53527,2.0
3129,53531,2.0
3130,53531,2.0
3131,53593,2.0
3132,53593,2.0
3133,53527,2.0
3134,53527,2.0
3135,53593,2.0
3136,53593,2.0
3137,53716,2.0
3138,53716,2.0
3139,53575,2.0
3140,53575,2.0
3141,53716,2.0
3142,53716,2.0
3145,53588,4.0
3146,53588,4.0
3149,53714,2.0
3150,53714,2.0
3151,53711,2.0
3152,53711,2.0
3153,53562,2.0
3154,53562,2.0
3155,53719,2.0
3156,53719,2.0
3157,53703,2.0
3158,53703,2.0
3159,53705,2.0
3160,53705,2.0
3161,53704,2.0
3162,53704,2.0
3163,53555,2.0
3164,53555,2.0
3165,53714,2.0
3166,53714,2.0
3167,53528,2.0
3168,53528,2.0
3169,53551,4.0
3170,53551,4.0
3171,53703,2.0
3172,53703,2.0
3173,53598,2.0
3174,53598,2.0
3175,53574,2.0
3176,53574,2.0
3177,53590,2.0
3178,53590,2.0
3179,53704,2.0
3180,53704,2.0
3185,53713,2.0
3186,53713,2.0
3187,53560,2.0
3188,53560,2.0
3189,53704,2.0
3190,53704,2.0
3191,53538,4.0
3192,53538,4.0
3193,53719,2.0
3194,53719,2.0
3195,53575,2.0
3196,53575,2.0
3197,53520,2.0
3198,53520,2.0
3201,53714,2.0
3202,53714,2.0
3203,53704,2.0
3204,53704,2.0
3207,53716,2.0
3208,53716,2.0
3211,53562,2.0
3212,53562,2.0
3213,53523,2.0
3214,53523,2.0
3215,53714,2.0
3216,53714,2.0
3217,53716,2.0
3218,53716,2.0
3219,53532,2.0
3220,53532,2.0
3221,53718,2.0
3222,53718,2.0
3223,53717,2.0
3224,53717,2.0
3225,53558,2.0
3226,53558,2.0
3227,53705,2.0
3228,53705,2.0
3229,53528,2.0
3230,53528,2.0
3231,53719,2.0
3232,53719,2.0
3235,53551,4.0
3236,53551,4.0
3237,53704,2.0
3238,53704,2.0
3239,53711,2.0
3240,53711,2.0
3241,53714,2.0
3242,53714,2.0
3243,53593,2.0
3244,53593,2.0
3245,53523,2.0
3246,53523,2.0
3247,53508,2.0
3248,53508,2.0
3249,53705,2.0
3250,53705,2.0
3251,53719,2.0
3252,53719,2.0
3253,53714,2.0
3254,53714,2.0
3255,53716,2.0
3256,53913,4.0
3257,53913,4.0
3258,53558,2.0
3259,53558,2.0
3260,53705,2.0
3261,53705,2.0
3262,53558,2.0
3263,53558,2.0
3264,53590,2.0
3265,53590,2.0
3266,53562,2.0
3267,53562,2.0
3268,53715,2.0
3269,53715,2.0
3270,53717,2.0
3271,53717,2.0
3272,53711,2.0
3273,53711,2.0
3274,53714,2.0
3275,53714,2.0
3278,53717,2.0
3279,53717,2.0
3280,53594,4.0
3281,53594,4.0
3282,53532,2.0
3283,53532,2.0
3284,53590,2.0
3285,53590,2.0
3286,53717,2.0
3287,53717,2.0
3288,53527,2.0
3289,53527,2.0
3290,53558,2.0
3291,53558,2.0
3292,53955,2.0
3293,53955,2.0
3294,53704,2.0
3295,53704,2.0
3296,53559,2.0
3297,53559,2.0
3298,53704,2.0
3299,53704,2.0
3302,53704,2.0
3303,53704,2.0
3304,53583,4.0
3305,53583,4.0
3306,53589,2.0
3307,53589,2.0
3308,53532,2.0
3309,53532,2.0
3310,53593,2.0
3311,53593,2.0
3314,53711,2.0
3315,53711,2.0
3316,53593,2.0
3317,53593,2.0
3318,53925,2.0
3319,53925,2.0
3320,53704,2.0
3321,53590,2.0
3322,53590,2.0
3323,53593,2.0
3324,53593,2.0
3325,53593,2.0
3326,53593,2.0
3327,53711,2.0
3328,53711,2.0
3329,53719,2.0
3330,53719,2.0
3331,53718,2.0
3332,53718,2.0
3333,53532,2.0
3334,53532,2.0
3335,53704,2.0
3336,53704,2.0
3337,53593,2.0
3338,53593,2.0
3339,53590,2.0
3340,53590,2.0
3341,53704,2.0
3342,53704,2.0
3345,53703,2.0
3346,53703,2.0
3349,53704,2.0
3350,53704,2.0
3351,53711,2.0
3352,53711,2.0
3353,53538,4.0
3354,53538,4.0
3355,53565,2.0
3356,53565,2.0
3357,53590,2.0
3358,53590,2.0
3359,53719,2.0
3360,53719,2.0
3361,53711,2.0
3362,53711,2.0
3363,53726,2.0
3364,53726,2.0
3365,53715,2.0
3366,53715,2.0
3367,53711,2.0
3368,53711,2.0
3369,53711,2.0
3372,53718,2.0
3373,53718,2.0
3374,53719,2.0
3375,53719,2.0
3376,53705,2.0
3377,53705,2.0
3378,53704,2.0
3379,53704,2.0
3380,53719,2.0
3381,53719,2.0
3382,53589,2.0
3383,53589,2.0
3384,53901,2.0
3385,53901,2.0
3386,53527,2.0
3387,53527,2.0
3388,53562,2.0
3389,53562,2.0
3390,53711,2.0
3391,53711,2.0
3392,53714,2.0
3393,53714,2.0
3394,53562,2.0
3395,53562,2.0
3396,53718,2.0
3397,53718,2.0
3398,53507,2.0
3399,53507,2.0
3402,53190,4.0
3403,53190,4.0
3404,53527,2.0
3405,53527,2.0
3406,53711,2.0
3407,53711,2.0
3408,53522,2.0
3409,53522,2.0
3410,53555,2.0
3411,53555,2.0
3412,53711,2.0
3413,53711,2.0
3414,53597,2.0
3415,53597,2.0
3416,53714,2.0
3417,53714,2.0
3418,53711,2.0
3419,53711,2.0
3420,53717,2.0
3421,53717,2.0
3426,53558,2.0
3427,53558,2.0
3428,53575,2.0
3429,53575,2.0
3430,53562,2.0
3431,53562,2.0
3432,53954,2.0
3433,53954,2.0
3434,53562,2.0
3435,53562,2.0
3436,53718,2.0
3437,53718,2.0
3438,53562,2.0
3439,53562,2.0
3440,53711,2.0
3441,53711,2.0
3442,53538,4.0
3443,53538,4.0
3444,53719,2.0
3445,53719,2.0
3446,53562,2.0
3447,53562,2.0
3448,53593,2.0
3449,53593,2.0
3450,53718,2.0
3451,53718,2.0
3452,53705,2.0
3453,53705,2.0
3456,53558,2.0
3457,53558,2.0
3460,53704,2.0
3461,53704,2.0
3464,53533,2.0
3465,53533,2.0
3466,53521,2.0
3467,53521,2.0
3468,53562,2.0
3469,53562,2.0
3470,53704,2.0
3471,53704,2.0
3472,53590,2.0
3473,53590,2.0
3474,53531,2.0
3475,53531,2.0
3476,53557,4.0
3477,53557,4.0
3478,53562,2.0
3479,53562,2.0
3480,53502,2.0
3481,53502,2.0
3482,53590,2.0
3483,53590,2.0
3484,53562,2.0
3485,53562,2.0
3486,53589,2.0
3487,53589,2.0
3488,53562,2.0
3489,53562,2.0
3490,53941,4.0
3491,53941,4.0
3494,53955,2.0
3495,53955,2.0
3498,53565,2.0
3499,53565,2.0
3500,53562,2.0
3501,53562,2.0
3502,53704,2.0
3503,53704,2.0
3504,53704,2.0
3505,53704,2.0
3506,53719,2.0
3507,53719,2.0
