Account.ID,Avg_Open_Count,Avg_Email_Link_Click_Count,Avg_Response_Time,Donation_Frequency,Total_Donation_Amount,Donor_Score,Engagement Type,Donation Type,State.Province,Zip.Code
180,1.0,0.0,0.0,3,62.730000000000004,19.923983879650873,High Engagement,Low Donation,Wisconsin,53546
186,0.0,0.0,0.0,3,150.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53717
189,1.0,0.0,0.0,3,450.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53717
190,1.0,0.0,0.0,3,225.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53555
191,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53575
192,2.0,1.0,0.0,3,150.0,22.703470714555444,High Engagement,High Donation,Wisconsin,53508
193,5.0,1.0,0.0,3,600.0,22.80486072485739,High Engagement,High Donation,Wisconsin,53593
194,10.0,1.0,50244.0,3,300.0,22.959803310952335,High Engagement,High Donation,Wisconsin,53066
195,2.0,1.0,0.0,2,100.0,16.073408311372035,High Engagement,High Donation,Wisconsin,53711
196,1.6666666666666667,0.0,0.0,3,75.0,19.946514993051306,High Engagement,Low Donation,Wisconsin,53562
197,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53719
198,1.0,0.0,0.0,3,300.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53719
199,0.0,0.0,0.0,3,225.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53716
200,0.0,0.0,0.0,3,225.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53574
201,3.0,1.0,0.0,3,150.0,22.737267384656093,High Engagement,High Donation,Wisconsin,53593
202,1.0,0.0,0.0,3,75.0,19.923983879650873,High Engagement,Low Donation,Wisconsin,53578
204,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53719
205,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53572
206,5.0,1.0,0.0,3,310.79999999999995,22.80486072485739,High Engagement,High Donation,Wisconsin,53562
207,1.0,0.0,0.0,3,300.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53703
208,1.0,0.0,0.0,3,900.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53705
209,0.0,0.0,0.0,3,900.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53719
210,1.0,0.0,0.0,3,150.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53717
211,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53713
212,0.0,0.0,0.0,3,300.0,19.890187209550223,High Engagement,High Donation,Wisconsin,53562
213,1.0,0.0,0.0,3,300.0,19.923983879650873,High Engagement,High Donation,Wisconsin,53593
214,0.0,0.0,0.0,3,75.0,19.890187209550223,High Engagement,Low Donation,Wisconsin,53719
