Zip.Code,Email.Address.Opt.Out.Date
4,0
1801,0
2128,0
7901,0
10021,0
10541,0
10567,0
10579,0
10598,0
12590,0
15216,0
18020,0
20012,0
22031,1
22206,0
23225,1
30008,0
30308,0
32931,0
33149,0
33436,0
34110,2
34747,0
37415,0
38117,0
43235,0
45277,0
46204,0
50401,0
51573,0
52593,0
53014,0
53018,0
53032,0
53037,0
53038,0
53039,0
53050,0
53051,0
53066,0
53072,0
53073,0
53090,0
53092,0
53094,0
53115,0
53132,0
53140,0
53147,0
53154,0
53183,0
53186,0
53188,0
53190,0
53202,0
53209,0
53211,0
53217,0
53219,0
53227,0
53228,0
53232,0
53289,0
53391,0
53456,0
53502,1
53503,1
53504,0
53505,0
53507,1
53508,0
53511,0
53515,1
53516,0
53517,0
53520,0
53521,0
53522,1
53523,0
53524,0
53527,2
53528,4
53529,1
53530,0
53531,2
53532,1
53533,0
53534,0
53535,0
53536,1
53537,0
53538,1
53541,0
53545,0
53546,0
53547,0
53548,1
53549,0
53551,1
53554,0
53555,1
53556,0
53557,0
53558,6
53559,0
53560,0
53561,0
53562,12
53563,1
53565,2
53566,0
53569,0
53570,1
53571,0
53572,1
53574,2
53575,3
53576,0
53577,0
53578,0
53579,0
53581,0
53582,0
53583,0
53586,0
53587,1
53588,0
53589,13
53590,13
53592,0
53593,19
53594,0
53595,0
53597,5
53598,0
53603,0
53632,1
53634,0
53646,0
53689,0
53690,0
53701,0
53703,8
53704,10
53705,4
53707,0
53708,0
53711,23
53713,1
53714,3
53715,1
53716,10
53717,4
53718,6
53719,5
53722,0
53725,0
53726,0
53727,0
53728,0
53736,0
53744,0
53775,0
53794,0
53803,0
53804,0
53805,1
53806,0
53809,0
53811,0
53813,0
53816,0
53818,0
53820,0
53827,0
53901,0
53911,0
53913,1
53916,0
53920,0
53923,0
53925,0
53930,0
53932,0
53940,0
53941,0
53948,0
53949,0
53950,0
53952,0
53954,0
53955,0
53956,0
53959,2
53960,0
53963,0
53964,0
53965,0
53968,0
53998,0
54115,0
54313,0
54501,0
54548,0
54590,0
54618,0
54634,0
54637,0
54646,0
54664,0
54703,0
54705,0
54801,0
54937,0
54942,0
54943,0
54956,0
54982,0
55076,0
55104,1
55112,0
55304,0
55369,0
55407,0
55423,0
60093,0
60148,0
60480,0
60516,0
60586,0
60646,0
60660,0
61021,0
61089,0
63303,0
63537,0
63705,0
63726,0
70124,0
77406,0
77407,0
78758,0
80221,0
81004,0
81631,0
85048,0
85338,0
85629,0
91942,0
92118,0
94941,0
95116,0
98112,0
