Zip.Code,Average.Open.Count
53538,1.4444444444444444
53578,5.1
53558,2.1296296296296298
53527,2.3636363636363638
53529,2.0
53561,1.2
53715,1.4666666666666666
53711,3.8903508771929824
77406,0.0
92118,1.0
53523,2.4166666666666665
53719,2.5135135135135136
77407,1.8
53508,1.7083333333333333
53703,2.0425531914893615
53705,2.0
60646,3.0
30308,1.0
34110,1.5
53589,1.6129032258064515
53701,1.0
53188,6.666666666666667
53528,2.1052631578947367
53037,16.25
53726,1.625
22031,2.0
54501,38.333333333333336
53593,2.0
54115,0.0
53227,0.0
53014,0.0
53704,2.2237762237762237
55423,1.0
53717,1.8070175438596492
53965,1.0
53072,1.75
53716,1.9764705882352942
53718,2.888888888888889
53555,1.9
53572,2.3636363636363638
53597,2.377049180327869
53713,2.3125
61021,0.0
53590,2.2113821138211383
53546,1.9444444444444444
53575,43.63636363636363
53066,10.0
53562,1.9927536231884058
53574,1.8
53140,2.0
53154,2.0
20012,1.0
53794,0.0
15216,1.0
43235,2.0
54956,2.0
34747,0.0
45277,0.0
53532,2.0344827586206895
53520,1.75
53959,2.0
53714,18.804347826086957
53551,2.4166666666666665
46204,0.0
91942,1.3333333333333333
53219,2.0
53916,2.5
53901,1.6
53583,1.7777777777777777
53132,1.0
38117,1.0
53228,1.0
53092,2.0
55104,5.0
53517,1.75
53186,0.0
53051,2.0
53925,2.263157894736842
53559,3.2857142857142856
22206,1.0
53190,3.0
53545,1.6923076923076923
53820,1.25
53727,1.0
53964,1.0
53511,2.0
53811,0.0
53531,1.4285714285714286
53581,1.25
53913,1.5454545454545454
10579,1.4285714285714286
53632,3.0
18020,0.0
12590,0.0
10567,1.3333333333333333
53536,1.5
33436,2.0
55076,2.0
10541,0.0
81004,4.0
53818,1.0
53522,1.5
53503,1.0
53563,1.2857142857142858
55369,2.0
55407,2.0
53548,1.5
53941,1.25
60586,0.0
53565,3.4
63303,1.3333333333333333
53209,0.0
53949,1.75
53549,1.0
53534,1.8181818181818181
53954,0.0
53050,0.0
53533,2.1666666666666665
53587,2.0
54937,2.0
53948,1.0
53502,2.0
53968,0.0
53535,0.0
53570,2.3333333333333335
10598,2.25
53588,2.6666666666666665
53560,1.5714285714285714
53956,1.6
53963,1.5
53566,1.8
53940,0.0
53115,1.0
53594,2.5
53728,1.6666666666666667
53537,0.0
53554,1.0
53805,2.0
53576,2.0
53646,0.0
54634,1.5
53515,2.25
53507,2.0
54618,0.0
53920,0.0
53598,1.7777777777777777
53521,2.25
53634,1.0
53809,1.5
53725,0.0
54982,0.0
53955,1.9
53707,0.0
60148,0.0
53147,2.0
53202,1.0
51573,2.0
53516,1.0
53556,2.25
us535,1.0
53094,1.6666666666666667
53530,2.0
61089,0.0
53073,0.0
60093,2.5
53775,0.0
53930,2.0
53569,1.0
53932,3.0
53032,1.0
54548,0.0
60660,1.0
53806,1.0
53911,4.0
50401,1.0
53595,4.0
85338,0.0
53813,0.0
53689,2.0
53803,1.0
53211,1.0
53289,0.0
53998,1.0
53804,0.0
53952,1.0
54637,0.0
54646,1.5
53557,0.0
53524,2.0
53183,0.0
85629,1.0
4,0.0
54943,0.0
52593,2.5
07901,0.0
53950,0.0
63537,2.5
53603,3.0
54313,2.0
53586,0.0
33149,0.0
54664,0.0
53960,1.0
53744,1.0
55304,1.0
85048,0.0
02128,0.0
95116,1.0
60480,1.0
54942,2.0
78758,1.0
53571,1.0
10021,2.0
54703,0.0
53722,0.0
54801,0.0
01801,0.0
23225,3.0
53577,0.0
53039,3.0
37415,0.0
53736,2.0
63726,0.0
63705,10.0
81631,0.0
53018,1.0
53923,0.0
55112,0.0
53582,0.0
537a,0.0
53038,0.0
32931,1.0
53391,0.0
53547,0.0
53579,1.0
53090,0.0
53827,1.0
53504,0.0
53456,0.0
94941,0.0
53690,0.0
53217,0.0
54590,2.0
53592,0.0
53541,0.0
30008,1.0
53708,0.0
54705,2.0
70124,0.0
53816,0.0
80221,0.0
60516,0.0
53505,0.0
53232,1.0
98112,0.0
