Zip.Code,Avg.Days to open
53538,0.0
53578,1.6
53558,0.5185185185185185
53527,13.318181818181818
53529,1.0
53561,57.2
53715,1.1333333333333333
53711,3.1973684210526314
77406,0.0
92118,0.0
53523,1.5
53719,0.36036036036036034
77407,0.0
53508,0.3333333333333333
53703,0.5531914893617021
53705,0.6172839506172839
60646,1.0
30308,0.0
34110,0.0
53589,4.741935483870968
53701,0.0
53188,0.0
53528,1.0
53037,0.0
53726,0.0625
22031,0.0
54501,0.0
53593,1.1166666666666667
54115,0.0
53227,0.0
53014,0.0
53704,1.6993006993006994
55423,0.0
53717,0.7368421052631579
53965,0.0
53072,1.75
53716,0.5411764705882353
53718,0.6388888888888888
53555,0.4
53572,0.09090909090909091
53597,0.06557377049180328
53713,0.0625
61021,0.0
53590,4.666666666666667
53546,1.6666666666666667
53575,0.22727272727272727
53066,0.0
53562,0.6231884057971014
53574,0.5
53140,0.0
53154,1.0
20012,0.0
53794,0.0
15216,0.0
43235,0.5
54956,0.0
34747,0.0
45277,0.0
53532,0.22413793103448276
53520,0.0
53959,3.5
53714,23.891304347826086
53551,0.3333333333333333
46204,0.0
91942,0.0
53219,0.0
53916,0.0
53901,1.0
53583,4.0
53132,0.0
38117,0.0
53228,0.0
53092,1.0
55104,0.0
53517,0.0
53186,0.0
53051,0.0
53925,0.0
53559,0.5714285714285714
22206,0.0
53190,0.0
53545,15.153846153846153
53820,0.75
53727,0.0
53964,0.0
53511,5.375
53811,0.0
53531,0.21428571428571427
53581,0.0
53913,0.0
10579,0.0
53632,29.0
18020,0.0
12590,0.0
10567,0.0
53536,0.0
33436,0.0
55076,0.0
10541,0.0
81004,0.0
53818,0.0
53522,0.0
53503,0.0
53563,0.0
55369,0.0
55407,0.0
53548,0.8333333333333334
53941,0.0
60586,0.0
53565,0.2
63303,0.0
53209,0.0
53949,0.0
53549,0.0
53534,0.5454545454545454
53954,0.0
53050,0.0
53533,0.0
53587,0.0
54937,5.0
53948,0.0
53502,0.0
53968,0.0
53535,0.0
53570,20.0
10598,0.0
53588,0.2222222222222222
53560,0.0
53956,0.0
53963,0.0
53566,0.0
53940,0.0
53115,0.0
53594,0.75
53728,0.6666666666666666
53537,0.0
53554,0.0
53805,0.0
53576,0.0
53646,0.0
54634,0.0
53515,0.0
53507,5.6
54618,0.0
53920,0.0
53598,0.1111111111111111
53521,0.0
53634,0.0
53809,5.5
53725,0.0
54982,0.0
53955,0.3
53707,0.0
60148,0.0
53147,0.3333333333333333
53202,0.0
51573,0.0
53516,0.0
53556,0.0
us535,0.0
53094,0.0
53530,0.0
61089,0.0
53073,0.0
60093,0.0
53775,0.0
53930,0.0
53569,0.0
53932,0.0
53032,0.0
54548,0.0
60660,0.0
53806,0.0
53911,22.5
50401,0.0
53595,0.0
85338,0.0
53813,0.0
53689,0.0
53803,0.0
53211,1.0
53289,0.0
53998,0.0
53804,0.0
53952,0.0
54637,0.0
54646,0.0
53557,0.0
53524,0.0
53183,0.0
85629,0.0
4,0.0
54943,0.0
52593,0.0
07901,0.0
53950,0.0
63537,0.0
53603,0.0
54313,91.0
53586,0.0
33149,0.0
54664,0.0
53960,0.0
53744,0.0
55304,0.0
85048,0.0
02128,0.0
95116,0.0
60480,0.0
54942,0.0
78758,0.0
53571,0.0
10021,0.0
54703,0.0
53722,0.0
54801,0.0
01801,0.0
23225,0.0
53577,0.0
53039,0.0
37415,0.0
53736,0.0
63726,0.0
63705,0.0
81631,0.0
53018,0.0
53923,0.0
55112,0.0
53582,0.0
537a,0.0
53038,0.0
32931,0.0
53391,0.0
53547,0.0
53579,0.0
53090,0.0
53827,0.0
53504,0.0
53456,0.0
94941,0.0
53690,0.0
53217,0.0
54590,0.0
53592,0.0
53541,0.0
30008,0.0
53708,0.0
54705,0.0
70124,0.0
53816,0.0
80221,0.0
60516,0.0
53505,0.0
53232,0.0
98112,0.0
