,Zip Code,Population,Density,RUCC_2023,PerCapitaPersonalIncome
153,70753,885.0,5.0,2.0,60708
154,71046,914.0,3.9,2.0,57251
155,71209,179.0,7501.5,3.0,49818
156,71286,362.0,1.5,8.0,35475
157,71325,1128.0,5.1,3.0,56169
158,71345,177.0,414.2,4.0,48881
159,71356,947.0,10.6,4.0,48881
160,71357,1821.0,2.5,9.0,49739
161,71369,2534.0,12.8,6.0,48298
162,71404,777.0,2.9,8.0,49490
163,71407,649.0,18.2,3.0,39914
164,71426,355.0,117.1,8.0,48715
165,71661,368.0,1.5,7.0,46686
166,71909,15872.0,75.8,3.0,52506
167,71944,787.0,7.2,7.0,39863
168,71957,2826.0,7.8,8.0,40367
169,72035,1721.0,5308.4,2.0,51017
170,72328,46.0,0.3,7.0,46576
171,72410,383.0,2.1,6.0,43536
172,72445,46.0,39.1,6.0,43536
173,72524,402.0,2.8,7.0,47318
174,72530,1267.0,4.4,6.0,51355
175,72537,742.0,10.0,7.0,46819
176,72672,301.0,16.5,9.0,39163
177,72687,6749.0,9.3,9.0,39163
178,72762,41189.0,265.6,2.0,51797
179,72855,6263.0,13.4,8.0,40613
180,73007,2741.0,25.9,1.0,72954
181,73011,319.0,2.4,1.0,50790
182,73019,0.0,0.0,1.0,54522
183,73029,1674.0,13.1,6.0,47172
184,73043,181.0,3.6,8.0,54975
185,73448,6206.0,11.2,9.0,45712
186,73449,3038.0,31.2,6.0,46331
187,73455,611.0,26.0,9.0,50204
188,73487,159.0,5.3,5.0,53086
189,73554,3244.0,3.1,9.0,39560
190,73560,889.0,2.6,7.0,54031
191,73632,3189.0,6.1,9.0,42987
192,73641,530.0,4.8,9.0,42987
193,73718,527.0,2.8,8.0,51281
194,73743,104.0,7.2,3.0,51152
195,73755,759.0,4.0,8.0,54975
196,74020,7293.0,41.3,1.0,45758
197,74027,1103.0,4.6,8.0,49125
198,74078,2306.0,3667.9,4.0,47401
199,74104,11186.0,1586.5,1.0,78619
200,74346,7690.0,13.4,6.0,46212
201,74368,109.0,37.5,6.0,46212
202,74438,130.0,6.4,8.0,44389
203,74570,994.0,2.5,9.0,46378
204,74646,159.0,1.1,4.0,49623
205,74734,1169.0,2.8,7.0,46108
206,74759,1553.0,4.3,9.0,43172
207,74872,3384.0,9.0,6.0,50882
208,75019,42888.0,1004.9,1.0,79626
209,75024,43551.0,1326.6,1.0,86860
210,75035,75485.0,1234.1,1.0,86860
211,75164,633.0,107.2,1.0,86860
212,75218,22529.0,1244.8,1.0,79626
213,75452,4650.0,23.6,6.0,49380
214,75476,1056.0,7.9,6.0,49380
215,75481,314.0,1.7,6.0,55098
216,75482,24984.0,30.9,6.0,55098
217,75556,1214.0,19.5,6.0,49130
218,75603,6100.0,50.9,2.0,59997
219,75681,2128.0,6.4,2.0,47312
220,75780,216.0,66.4,6.0,46221
221,75790,3864.0,40.6,8.0,48399
222,75792,3002.0,12.3,3.0,66887
223,75862,10176.0,15.9,8.0,49195
224,76248,39665.0,1060.7,1.0,65765
225,76435,512.0,2.7,8.0,56246
226,76513,39411.0,144.4,2.0,51898
227,76632,1613.0,10.4,2.0,47110
228,76643,14523.0,697.0,2.0,53941
229,76653,1279.0,3.3,6.0,52196
230,77014,37488.0,2017.1,1.0,73862
231,77030,11229.0,1721.2,1.0,73862
232,77036,74472.0,4016.8,1.0,73862
233,77059,17254.0,676.9,1.0,73862
234,77060,45642.0,2144.2,1.0,73862
235,77433,90657.0,599.2,1.0,73862
236,77446,6520.0,383.8,1.0,55463
237,77453,393.0,13.1,4.0,55902
238,77550,21863.0,1124.4,1.0,64574
239,77665,6152.0,17.6,1.0,65907
240,77702,3225.0,1005.3,2.0,50131
241,77879,5621.0,11.6,2.0,61181
242,78009,8466.0,45.7,1.0,52854
243,78019,1253.0,0.5,8.0,50247
244,78070,15457.0,43.3,1.0,77224
245,78132,30987.0,64.5,1.0,77224
246,78151,1662.0,6.1,8.0,83442
247,78222,25227.0,444.6,1.0,57096
248,78385,525.0,1.0,9.0,45802
249,78410,28396.0,479.8,2.0,56833
250,78590,354.0,49.6,6.0,35832
251,78597,2818.0,120.8,2.0,38523
252,78616,8918.0,31.3,1.0,44202
253,78619,4505.0,45.1,1.0,64671
254,78659,2616.0,8.9,1.0,47331
255,78664,64686.0,1506.6,1.0,72828
256,78735,18122.0,340.5,1.0,91887
257,78753,60426.0,2146.9,1.0,91887
258,78870,1099.0,3.6,6.0,55211
259,78938,303.0,5.3,6.0,72230
260,79045,18847.0,6.0,6.0,75549
261,79336,17270.0,15.4,2.0,53348
262,79347,7202.0,3.9,6.0,57209
263,79350,401.0,108.0,2.0,54313
264,79502,1305.0,0.8,9.0,95644
265,79529,1480.0,6.4,9.0,52798
266,79783,321.0,0.7,3.0,107395
267,79906,5295.0,492.5,2.0,46753
268,79920,8.0,626.7,2.0,46753
